Week number,Week ending,44 and less (M),44 to 65 (M),65+ (M),44 and less (F),44 to 65 (F),65+ (F),Region,Year,Deaths
15,15/04/2022,7,31,471,6,26,462,EandW,2022,COVID related
16,22/04/2022,1,42,492,7,29,471,EandW,2022,COVID related
17,29/04/2022,9,32,543,5,24,512,EandW,2022,COVID related
18,06/05/2022,3,32,378,5,22,295,EandW,2022,COVID related
19,13/05/2022,5,25,349,4,13,323,EandW,2022,COVID related
20,20/05/2022,7,26,250,2,21,241,EandW,2022,COVID related
21,27/05/2022,7,16,210,2,14,161,EandW,2022,COVID related
22,03/06/2022,3,8,87,1,6,81,EandW,2022,COVID related
23,10/06/2022,3,22,142,3,10,104,EandW,2022,COVID related
24,17/06/2022,2,17,137,4,9,95,EandW,2022,COVID related
25,24/06/2022,3,12,152,4,12,102,EandW,2022,COVID related
26,01/07/2022,2,22,153,4,16,135,EandW,2022,COVID related
27,08/07/2022,8,19,207,5,14,170,EandW,2022,COVID related
28,15/07/2022,3,27,264,4,23,264,EandW,2022,COVID related
29,22/07/2022,6,43,368,4,27,297,EandW,2022,COVID related
30,29/07/2022,3,31,374,3,33,366,EandW,2022,COVID related
31,05/08/2022,7,27,330,5,31,323,EandW,2022,COVID related
32,12/08/2022,3,22,311,3,16,237,EandW,2022,COVID related
33,19/08/2022,5,21,280,1,19,225,EandW,2022,COVID related
34,26/08/2022,1,17,213,3,13,206,EandW,2022,COVID related
35,02/09/2022,3,13,145,2,10,141,EandW,2022,COVID related
36,09/09/2022,3,18,196,3,7,138,EandW,2022,COVID related
37,16/09/2022,3,14,166,2,9,107,EandW,2022,COVID related
38,23/09/2022,3,7,121,0,7,97,EandW,2022,COVID related
39,30/09/2022,6,14,139,1,14,113,EandW,2022,COVID related
40,07/10/2022,6,12,214,0,13,155,EandW,2022,COVID related
41,14/10/2022,3,16,256,2,22,266,EandW,2022,COVID related
42,21/10/2022,9,25,360,4,21,268,EandW,2022,COVID related
43,28/10/2022,1,18,315,1,24,292,EandW,2022,COVID related
44,04/11/2022,6,33,318,3,20,270,EandW,2022,COVID related
45,11/11/2022,7,18,259,3,18,213,EandW,2022,COVID related
46,18/11/2022,1,21,206,2,20,173,EandW,2022,COVID related
47,25/11/2022,1,20,180,2,13,132,EandW,2022,COVID related
48,02/12/2022,3,14,146,1,9,144,EandW,2022,COVID related
49,09/12/2022,0,9,161,2,13,141,EandW,2022,COVID related
50,16/12/2022,3,10,183,1,17,176,EandW,2022,COVID related
51,23/12/2022,0,12,193,1,7,216,EandW,2022,COVID related
52,30/12/2022,3,14,181,2,11,182,EandW,2022,COVID related
