Week number,Week ending,44 and less (M),44 to 65 (M),65+ (M),44 and less (F),44 to 65 (F),65+ (F),Region,Year,Deaths
33,20/08/2021,232,683,3889,119,469,4051,EandW,2021,Non-COVID
34,27/08/2021,231,744,3862,113,458,4192,EandW,2021,Non-COVID
35,03/09/2021,170,596,3294,117,437,3524,EandW,2021,Non-COVID
36,10/09/2021,247,771,4141,125,511,4383,EandW,2021,Non-COVID
37,17/09/2021,199,763,4097,114,495,4490,EandW,2021,Non-COVID
38,24/09/2021,239,711,3999,135,520,4192,EandW,2021,Non-COVID
39,01/10/2021,242,788,3845,131,505,4216,EandW,2021,Non-COVID
40,08/10/2021,268,717,4207,125,515,4309,EandW,2021,Non-COVID
41,15/10/2021,226,837,4196,140,530,4535,EandW,2021,Non-COVID
42,22/10/2021,242,806,4306,137,550,4475,EandW,2021,Non-COVID
43,29/10/2021,211,779,4165,130,518,4325,EandW,2021,Non-COVID
44,05/11/2021,245,772,4278,129,437,4694,EandW,2021,Non-COVID
45,12/11/2021,260,794,4479,161,539,4797,EandW,2021,Non-COVID
46,19/11/2021,238,794,4480,133,504,5002,EandW,2021,Non-COVID
47,26/11/2021,251,759,4299,151,539,4651,EandW,2021,Non-COVID
48,03/12/2021,271,813,4313,153,550,4767,EandW,2021,Non-COVID
49,10/12/2021,239,775,4650,129,540,4833,EandW,2021,Non-COVID
50,17/12/2021,251,835,4724,150,538,5147,EandW,2021,Non-COVID
51,24/12/2021,268,860,4962,134,561,5376,EandW,2021,Non-COVID
52,31/12/2021,114,516,3166,66,386,3647,EandW,2021,Non-COVID
1,08/01/2021,37,371,2813,24,236,2576,EandW,2021,COVID related
2,15/01/2021,47,486,3283,39,279,3111,EandW,2021,COVID related
3,22/01/2021,65,513,3853,27,345,3619,EandW,2021,COVID related
4,29/01/2021,62,568,3725,35,324,3719,EandW,2021,COVID related
5,05/02/2021,57,515,3204,40,292,3212,EandW,2021,COVID related
6,12/02/2021,42,453,2547,30,223,2396,EandW,2021,COVID related
7,19/02/2021,30,332,1809,24,203,1681,EandW,2021,COVID related
8,26/02/2021,22,255,1264,20,160,1193,EandW,2021,COVID related
9,05/03/2021,27,197,929,20,120,812,EandW,2021,COVID related
10,12/03/2021,13,161,646,15,82,584,EandW,2021,COVID related
11,19/03/2021,10,111,411,4,64,363,EandW,2021,COVID related
12,26/03/2021,8,100,287,4,51,269,EandW,2021,COVID related
13,02/04/2021,11,47,158,7,32,145,EandW,2021,COVID related
14,09/04/2021,8,45,168,7,26,125,EandW,2021,COVID related
15,16/04/2021,6,46,150,7,22,131,EandW,2021,COVID related
16,23/04/2021,4,32,117,0,18,89,EandW,2021,COVID related
17,30/04/2021,7,21,88,2,11,76,EandW,2021,COVID related
18,07/05/2021,5,21,58,0,9,36,EandW,2021,COVID related
19,14/05/2021,2,23,52,3,9,62,EandW,2021,COVID related
20,21/05/2021,3,13,45,0,6,40,EandW,2021,COVID related
21,28/05/2021,4,16,41,1,9,24,EandW,2021,COVID related
22,04/06/2021,3,7,34,3,15,36,EandW,2021,COVID related
23,11/06/2021,1,10,36,4,9,24,EandW,2021,COVID related
24,18/06/2021,1,12,42,1,7,39,EandW,2021,COVID related
25,25/06/2021,4,21,44,2,8,20,EandW,2021,COVID related
26,02/07/2021,5,14,41,4,11,34,EandW,2021,COVID related
27,09/07/2021,9,23,69,3,16,63,EandW,2021,COVID related
28,16/07/2021,9,27,85,3,24,70,EandW,2021,COVID related
29,23/07/2021,14,41,138,6,19,109,EandW,2021,COVID related
30,30/07/2021,14,50,172,6,26,136,EandW,2021,COVID related
31,06/08/2021,26,78,222,16,32,153,EandW,2021,COVID related
32,13/08/2021,18,76,242,11,44,180,EandW,2021,COVID related
33,20/08/2021,17,70,241,6,46,190,EandW,2021,COVID related
34,27/08/2021,21,85,288,10,53,211,EandW,2021,COVID related
35,03/09/2021,17,66,301,7,43,225,EandW,2021,COVID related
36,10/09/2021,17,88,418,11,57,266,EandW,2021,COVID related
37,17/09/2021,16,84,368,9,62,312,EandW,2021,COVID related
38,24/09/2021,18,96,399,15,59,301,EandW,2021,COVID related
39,01/10/2021,9,79,352,20,54,269,EandW,2021,COVID related
40,08/10/2021,14,76,308,6,38,224,EandW,2021,COVID related
41,15/10/2021,13,51,341,6,48,254,EandW,2021,COVID related
42,22/10/2021,11,88,366,8,44,275,EandW,2021,COVID related
43,29/10/2021,13,69,410,11,47,309,EandW,2021,COVID related
44,05/11/2021,12,88,467,11,55,362,EandW,2021,COVID related
45,12/11/2021,14,99,504,12,54,337,EandW,2021,COVID related
46,19/11/2021,18,102,462,10,63,297,EandW,2021,COVID related
47,26/11/2021,14,88,397,13,50,255,EandW,2021,COVID related
48,03/12/2021,20,104,351,7,42,268,EandW,2021,COVID related
49,10/12/2021,14,74,320,14,50,292,EandW,2021,COVID related
50,17/12/2021,23,85,325,8,66,248,EandW,2021,COVID related
51,24/12/2021,29,120,354,18,54,277,EandW,2021,COVID related
52,31/12/2021,21,79,229,7,44,202,EandW,2021,COVID related
